"region","age","sex","2019"
"01 Stockholm county","75 years","women",10750.5
"01 Stockholm county","76 years","men",8659.0
"01 Stockholm county","76 years","women",9709.5
"01 Stockholm county","77 years","men",7545.0
"01 Stockholm county","77 years","women",8737.0
"01 Stockholm county","78 years","men",6358.0
"01 Stockholm county","78 years","women",7540.5
"01 Stockholm county","79 years","men",5763.0
"01 Stockholm county","79 years","women",6580.5
"01 Stockholm county","80 years","men",5283.5
"01 Stockholm county","80 years","women",6412.0
"01 Stockholm county","81 years","men",4767.5
"01 Stockholm county","81 years","women",6053.5
"01 Stockholm county","82 years","men",4097.0
"01 Stockholm county","82 years","women",5425.0
"01 Stockholm county","83 years","men",3723.0
"01 Stockholm county","83 years","women",5070.0
"01 Stockholm county","84 years","men",3311.5
"01 Stockholm county","84 years","women",4435.5
"01 Stockholm county","85 years","men",2747.0
"01 Stockholm county","85 years","women",4055.5
"01 Stockholm county","86 years","men",2483.5
"01 Stockholm county","86 years","women",3703.5
"01 Stockholm county","87 years","men",2183.0
"01 Stockholm county","87 years","women",3621.5
"01 Stockholm county","88 years","men",1949.5
"01 Stockholm county","88 years","women",3347.5
"01 Stockholm county","89 years","men",1604.0
"01 Stockholm county","89 years","women",3044.0
"01 Stockholm county","90 years","men",1300.0
"01 Stockholm county","90 years","women",2626.0
"01 Stockholm county","91 years","men",1118.0
"01 Stockholm county","91 years","women",2363.0
"01 Stockholm county","92 years","men",910.0
"01 Stockholm county","92 years","women",1980.5
"01 Stockholm county","93 years","men",712.5
"01 Stockholm county","93 years","women",1742.5
"01 Stockholm county","94 years","men",600.5
"01 Stockholm county","94 years","women",1490.0
"01 Stockholm county","95 years","men",429.5
"01 Stockholm county","95 years","women",1190.0
"01 Stockholm county","96 years","men",327.5
"01 Stockholm county","96 years","women",936.5
"01 Stockholm county","97 years","men",191.0
"01 Stockholm county","97 years","women",651.5
"01 Stockholm county","98 years","men",139.5
"01 Stockholm county","98 years","women",550.5
"01 Stockholm county","99 years","men",94.5
"01 Stockholm county","99 years","women",385.0
"01 Stockholm county","100+ years","men",109.5
"01 Stockholm county","100+ years","women",559.0
"03 Uppsala county","0 years","men",1142.0
"03 Uppsala county","0 years","women",1020.0
"03 Uppsala county","1 year","men",2262.0
"03 Uppsala county","1 year","women",2117.0
"03 Uppsala county","2 years","men",2273.5
"03 Uppsala county","2 years","women",2152.5
"03 Uppsala county","3 years","men",2374.5
"03 Uppsala county","3 years","women",2272.5
"03 Uppsala county","4 years","men",2374.5
"03 Uppsala county","4 years","women",2392.0
"03 Uppsala county","5 years","men",2348.5
"03 Uppsala county","5 years","women",2266.5
"03 Uppsala county","6 years","men",2297.0
"03 Uppsala county","6 years","women",2184.5
"03 Uppsala county","7 years","men",2472.0
"03 Uppsala county","7 years","women",2276.5
"03 Uppsala county","8 years","men",2262.5
"03 Uppsala county","8 years","women",2250.0
"03 Uppsala county","9 years","men",2452.5
"03 Uppsala county","9 years","women",2266.5
"03 Uppsala county","10 years","men",2289.5
"03 Uppsala county","10 years","women",2217.0
"03 Uppsala county","11 years","men",2385.5
"03 Uppsala county","11 years","women",2259.0
"03 Uppsala county","12 years","men",2300.5
"03 Uppsala county","12 years","women",2136.0
"03 Uppsala county","13 years","men",2250.0
"03 Uppsala county","13 years","women",2148.5
"03 Uppsala county","14 years","men",2161.0
"03 Uppsala county","14 years","women",2107.0
"03 Uppsala county","15 years","men",2236.0
"03 Uppsala county","15 years","women",2082.0
"03 Uppsala county","16 years","men",2125.5
"03 Uppsala county","16 years","women",2057.5
"03 Uppsala county","17 years","men",2199.5
"03 Uppsala county","17 years","women",1958.0
"03 Uppsala county","18 years","men",2130.0
"03 Uppsala county","18 years","women",1911.5
"03 Uppsala county","19 years","men",2262.5
"03 Uppsala county","19 years","women",1901.5
"03 Uppsala county","20 years","men",2474.0
"03 Uppsala county","20 years","women",2146.5
"03 Uppsala county","21 years","men",2474.5
"03 Uppsala county","21 years","women",2461.5
"03 Uppsala county","22 years","men",2476.5
"03 Uppsala county","22 years","women",2644.0
"03 Uppsala county","23 years","men",2669.5
"03 Uppsala county","23 years","women",2916.0
"03 Uppsala county","24 years","men",3019.5
"03 Uppsala county","24 years","women",3034.0
"03 Uppsala county","25 years","men",3186.0
"03 Uppsala county","25 years","women",3224.0
"03 Uppsala county","26 years","men",3149.0
"03 Uppsala county","26 years","women",3076.5
"03 Uppsala county","27 years","men",3280.5
"03 Uppsala county","27 years","women",3197.0
"03 Uppsala county","28 years","men",3233.5
"03 Uppsala county","28 years","women",3189.5
"03 Uppsala county","29 years","men",3301.0
"03 Uppsala county","29 years","women",2970.0
"03 Uppsala county","30 years","men",2961.5
"03 Uppsala county","30 years","women",2854.0
"03 Uppsala county","31 years","men",2933.0
"03 Uppsala county","31 years","women",2692.0
"03 Uppsala county","32 years","men",2781.0
"03 Uppsala county","32 years","women",2625.5
"03 Uppsala county","33 years","men",2749.5
"03 Uppsala county","33 years","women",2708.5
"03 Uppsala county","34 years","men",2758.0
"03 Uppsala county","34 years","women",2531.0
"03 Uppsala county","35 years","men",2580.5
"03 Uppsala county","35 years","women",2318.0
"03 Uppsala county","36 years","men",2419.5
"03 Uppsala county","36 years","women",2353.5
"03 Uppsala county","37 years","men",2421.0
"03 Uppsala county","37 years","women",2290.0
"03 Uppsala county","38 years","men",2257.5
"03 Uppsala county","38 years","women",2201.0
"03 Uppsala county","39 years","men",2415.5
"03 Uppsala county","39 years","women",2307.5
"03 Uppsala county","40 years","men",2303.0
"03 Uppsala county","40 years","women",2253.0
"03 Uppsala county","41 years","men",2211.5
"03 Uppsala county","41 years","women",2193.0
"03 Uppsala county","42 years","men",2316.5
"03 Uppsala county","42 years","women",2184.5
"03 Uppsala county","43 years","men",2290.0
"03 Uppsala county","43 years","women",2220.5
"03 Uppsala county","44 years","men",2398.5
"03 Uppsala county","44 years","women",2380.0
"03 Uppsala county","45 years","men",2488.5
"03 Uppsala county","45 years","women",2393.5
"03 Uppsala county","46 years","men",2378.5
"03 Uppsala county","46 years","women",2345.0
"03 Uppsala county","47 years","men",2417.0
"03 Uppsala county","47 years","women",2383.0
"03 Uppsala county","48 years","men",2453.5
"03 Uppsala county","48 years","women",2376.0
"03 Uppsala county","49 years","men",2236.5
"03 Uppsala county","49 years","women",2192.5
"03 Uppsala county","50 years","men",2276.0
"03 Uppsala county","50 years","women",2235.0
"03 Uppsala county","51 years","men",2361.0
"03 Uppsala county","51 years","women",2266.0
"03 Uppsala county","52 years","men",2343.0
"03 Uppsala county","52 years","women",2429.0
"03 Uppsala county","53 years","men",2434.0
"03 Uppsala county","53 years","women",2445.5
"03 Uppsala county","54 years","men",2397.5
"03 Uppsala county","54 years","women",2387.5
"03 Uppsala county","55 years","men",2439.0
"03 Uppsala county","55 years","women",2373.5
"03 Uppsala county","56 years","men",2309.5
"03 Uppsala county","56 years","women",2229.0
"03 Uppsala county","57 years","men",2142.5
"03 Uppsala county","57 years","women",2070.5
"03 Uppsala county","58 years","men",1969.0
"03 Uppsala county","58 years","women",2114.0
"03 Uppsala county","59 years","men",1968.0
"03 Uppsala county","59 years","women",1987.0
"03 Uppsala county","60 years","men",1966.5
"03 Uppsala county","60 years","women",2029.0
"03 Uppsala county","61 years","men",2020.5
"03 Uppsala county","61 years","women",2048.0
"03 Uppsala county","62 years","men",1980.5
"03 Uppsala county","62 years","women",2022.5
"03 Uppsala county","63 years","men",2058.0
"03 Uppsala county","63 years","women",2093.5
"03 Uppsala county","64 years","men",1908.0
"03 Uppsala county","64 years","women",1968.0
"03 Uppsala county","65 years","men",1966.0
"03 Uppsala county","65 years","women",1901.0
"03 Uppsala county","66 years","men",1878.5
"03 Uppsala county","66 years","women",1953.0
"03 Uppsala county","67 years","men",1843.0
"03 Uppsala county","67 years","women",1970.0
"03 Uppsala county","68 years","men",1782.0
"03 Uppsala county","68 years","women",1903.5
"03 Uppsala county","69 years","men",1895.0
"03 Uppsala county","69 years","women",1989.0
"03 Uppsala county","70 years","men",1962.0
"03 Uppsala county","70 years","women",2104.0
"03 Uppsala county","71 years","men",2041.0
"03 Uppsala county","71 years","women",2166.0
"03 Uppsala county","72 years","men",2018.0
"03 Uppsala county","72 years","women",2076.5
"03 Uppsala county","73 years","men",1966.5
"03 Uppsala county","73 years","women",2023.0
"03 Uppsala county","74 years","men",1897.5
"03 Uppsala county","74 years","women",2045.5
"03 Uppsala county","75 years","men",1872.0
"03 Uppsala county","75 years","women",1921.0
"03 Uppsala county","76 years","men",1618.5
"03 Uppsala county","76 years","women",1734.0
"03 Uppsala county","77 years","men",1468.5
"03 Uppsala county","77 years","women",1552.0
"03 Uppsala county","78 years","men",1182.5
"03 Uppsala county","78 years","women",1233.0
"03 Uppsala county","79 years","men",1072.5
"03 Uppsala county","79 years","women",1188.0
"03 Uppsala county","80 years","men",1073.0
"03 Uppsala county","80 years","women",1124.5
"03 Uppsala county","81 years","men",929.5
"03 Uppsala county","81 years","women",1074.0
"03 Uppsala county","82 years","men",841.5
"03 Uppsala county","82 years","women",968.0
"03 Uppsala county","83 years","men",685.5
"03 Uppsala county","83 years","women",922.5
"03 Uppsala county","84 years","men",621.0
"03 Uppsala county","84 years","women",817.0
"03 Uppsala county","85 years","men",575.5
"03 Uppsala county","85 years","women",784.0
"03 Uppsala county","86 years","men",473.0
"03 Uppsala county","86 years","women",760.5
"03 Uppsala county","87 years","men",439.0
"03 Uppsala county","87 years","women",643.0
"03 Uppsala county","88 years","men",401.5
"03 Uppsala county","88 years","women",592.0
"03 Uppsala county","89 years","men",345.5
"03 Uppsala county","89 years","women",529.5
"03 Uppsala county","90 years","men",288.5
"03 Uppsala county","90 years","women",456.0
"03 Uppsala county","91 years","men",222.0
"03 Uppsala county","91 years","women",428.0
"03 Uppsala county","92 years","men",186.0
"03 Uppsala county","92 years","women",335.0
"03 Uppsala county","93 years","men",155.5
"03 Uppsala county","93 years","women",291.5
"03 Uppsala county","94 years","men",107.5
"03 Uppsala county","94 years","women",272.0
"03 Uppsala county","95 years","men",66.0
"03 Uppsala county","95 years","women",214.5
"03 Uppsala county","96 years","men",44.5
"03 Uppsala county","96 years","women",153.0
"03 Uppsala county","97 years","men",40.5
"03 Uppsala county","97 years","women",120.5
"03 Uppsala county","98 years","men",37.5
"03 Uppsala county","98 years","women",93.5
"03 Uppsala county","99 years","men",15.0
"03 Uppsala county","99 years","women",46.5
"03 Uppsala county","100+ years","men",16.0
"03 Uppsala county","100+ years","women",79.5
"04 Södermanland county","0 years","men",810.0
"04 Södermanland county","0 years","women",798.5
"04 Södermanland county","1 year","men",1791.0
"04 Södermanland county","1 year","women",1568.0
"04 Södermanland county","2 years","men",1788.0
"04 Södermanland county","2 years","women",1787.0
"04 Södermanland county","3 years","men",1903.0
"04 Södermanland county","3 years","women",1784.5
"04 Södermanland county","4 years","men",1793.5
"04 Södermanland county","4 years","women",1774.5
"04 Södermanland county","5 years","men",1918.5
"04 Södermanland county","5 years","women",1751.5
"04 Södermanland county","6 years","men",1888.5
"04 Södermanland county","6 years","women",1714.0
"04 Södermanland county","7 years","men",1875.5
"04 Södermanland county","7 years","women",1754.5
"04 Södermanland county","8 years","men",1847.0
"04 Södermanland county","8 years","women",1705.5
"04 Södermanland county","9 years","men",1915.0
"04 Södermanland county","9 years","women",1775.0
"04 Södermanland county","10 years","men",1883.0
"04 Södermanland county","10 years","women",1727.5
"04 Södermanland county","11 years","men",1882.5
"04 Södermanland county","11 years","women",1702.0
"04 Södermanland county","12 years","men",1871.5
