region,care_places_per_1000_inhabitants,population_density_per_sq_km,land_area_sq_km,0_years_men,0_years_women,100+_years_men,100+_years_women,10_years_men,10_years_women,11_years_men,11_years_women,12_years_men,12_years_women,13_years_men,13_years_women,14_years_men,14_years_women,15_years_men,15_years_women,16_years_men,16_years_women,17_years_men,17_years_women,18_years_men,18_years_women,19_years_men,19_years_women,1_year_men,1_year_women,20_years_men,20_years_women,21_years_men,21_years_women,22_years_men,22_years_women,23_years_men,23_years_women,24_years_men,24_years_women,25_years_men,25_years_women,26_years_men,26_years_women,27_years_men,27_years_women,28_years_men,28_years_women,29_years_men,29_years_women,2_years_men,2_years_women,30_years_men,30_years_women,31_years_men,31_years_women,32_years_men,32_years_women,33_years_men,33_years_women,34_years_men,34_years_women,35_years_men,35_years_women,36_years_men,36_years_women,37_years_men,37_years_women,38_years_men,38_years_women,39_years_men,39_years_women,3_years_men,3_years_women,40_years_men,40_years_women,41_years_men,41_years_women,42_years_men,42_years_women,43_years_men,43_years_women,44_years_men,44_years_women,45_years_men,45_years_women,46_years_men,46_years_women,47_years_men,47_years_women,48_years_men,48_years_women,49_years_men,49_years_women,4_years_men,4_years_women,50_years_men,50_years_women,51_years_men,51_years_women,52_years_men,52_years_women,53_years_men,53_years_women,54_years_men,54_years_women,55_years_men,55_years_women,56_years_men,56_years_women,57_years_men,57_years_women,58_years_men,58_years_women,59_years_men,59_years_women,5_years_men,5_years_women,60_years_men,60_years_women,61_years_men,61_years_women,62_years_men,62_years_women,63_years_men,63_years_women,64_years_men,64_years_women,65_years_men,65_years_women,66_years_men,66_years_women,67_years_men,67_years_women,68_years_men,68_years_women,69_years_men,69_years_women,6_years_men,6_years_women,70_years_men,70_years_women,71_years_men,71_years_women,72_years_men,72_years_women,73_years_men,73_years_women,74_years_men,74_years_women,75_years_men,75_years_women,76_years_men,76_years_women,77_years_men,77_years_women,78_years_men,78_years_women,79_years_men,79_years_women,7_years_men,7_years_women,80_years_men,80_years_women,81_years_men,81_years_women,82_years_men,82_years_women,83_years_men,83_years_women,84_years_men,84_years_women,85_years_men,85_years_women,86_years_men,86_years_women,87_years_men,87_years_women,88_years_men,88_years_women,89_years_men,89_years_women,8_years_men,8_years_women,90_years_men,90_years_women,91_years_men,91_years_women,92_years_men,92_years_women,93_years_men,93_years_women,94_years_men,94_years_women,95_years_men,95_years_women,96_years_men,96_years_women,97_years_men,97_years_women,98_years_men,98_years_women,99_years_men,99_years_women,9_years_men,9_years_women
13_Halland_county,1.7640700530000002,61.5,5426.59,935.0,856.5,28.5,76.5,2201.0,2028.5,2109.5,2005.5,2083.0,2011.0,2146.0,2036.0,2106.5,1952.0,2052.0,1876.0,2041.5,1953.0,2041.5,1856.0,1978.5,1750.0,1985.5,1705.5,1873.0,1740.5,1958.5,1703.5,1946.5,1573.5,1798.5,1600.0,1823.5,1598.5,1909.0,1649.5,1973.5,1806.0,2110.5,1901.0,2108.5,1983.5,2160.5,2016.0,2212.5,2061.5,1903.0,1814.0,2080.5,1952.5,2012.0,1974.0,1918.0,1958.0,2057.5,1886.5,1964.5,1912.5,1907.0,1899.0,1896.5,1761.5,1934.0,1839.0,1894.0,1889.0,1921.0,1884.5,2088.0,1923.0,1884.5,1974.0,1908.5,1915.0,1919.0,1852.0,2005.5,1994.5,2068.0,2037.0,2164.5,2172.5,2061.5,2200.0,2292.0,2114.5,2225.5,2219.0,2134.5,2190.5,1983.5,1863.0,2218.0,2092.0,2175.0,2267.5,2376.5,2310.5,2288.5,2255.0,2334.5,2272.0,2288.5,2201.0,2146.0,2135.5,1954.0,2020.0,1949.5,1963.0,1873.0,1982.0,2079.0,1943.0,1954.5,1951.0,1946.5,1944.0,1956.5,1933.5,1816.5,1943.0,1907.0,1900.5,1759.5,1833.0,1915.5,1946.0,1814.0,1873.0,1881.5,1807.0,1838.0,1934.5,2079.5,1925.0,1919.5,1986.5,1957.5,2059.5,1959.0,2021.5,1947.5,2091.5,1884.5,1951.5,1855.0,1845.5,1646.0,1833.0,1550.5,1553.0,1243.0,1371.0,1244.0,1220.5,2080.0,1966.5,1087.0,1274.0,1025.0,1129.0,902.0,1113.5,834.5,1026.0,673.0,963.0,623.5,877.5,556.0,787.0,492.0,726.0,428.0,640.0,363.5,615.0,2097.5,2058.5,291.0,511.5,278.0,490.5,186.0,415.0,145.0,323.5,113.5,289.0,85.0,236.5,72.5,147.0,41.5,104.0,33.5,94.5,21.5,67.5,2278.0,2142.5
14_Västra_Götaland_county,2.111750167,72.5,23800.38,5037.5,4732.5,81.5,366.0,10795.0,9942.0,10431.5,9823.0,10360.0,9850.0,10231.0,9617.5,9802.0,9245.5,9911.0,9202.5,9711.5,9177.0,9355.0,9051.0,9516.5,8580.5,9723.5,8721.0,10195.5,9673.0,10405.0,8846.5,10464.5,8784.5,9669.5,9013.0,10204.0,9411.0,11110.5,10569.0,12054.0,11765.0,12830.5,12238.0,13508.5,12638.0,13889.0,12929.5,13981.5,13361.5,10313.0,9602.5,13182.0,12596.0,13318.5,12372.0,12509.5,11995.5,12444.5,11501.5,12287.5,11340.5,11653.5,10988.5,11310.0,10498.0,11319.0,10691.5,10967.0,10366.5,11231.0,10826.0,10731.5,10059.5,10834.0,10320.0,10526.5,10063.0,10685.0,10167.5,10522.0,10123.0,11014.5,10499.5,11421.0,10960.5,11132.0,10671.5,11123.5,11043.0,11121.0,10631.5,10820.5,10705.5,10506.0,9793.5,10857.5,10516.5,11223.5,10995.5,11685.0,11378.5,11845.0,11458.0,11838.5,11426.5,11528.0,11406.5,11161.5,10772.5,10212.5,9846.5,9990.0,9707.5,9600.0,9620.5,10600.0,9973.5,9802.0,9518.5,9726.0,9432.5,9586.5,9682.5,9648.0,9534.5,9133.0,9389.0,8941.5,8991.0,9113.5,9360.0,8854.0,9015.5,8416.0,8880.5,8802.0,9072.5,10467.5,10012.0,9194.5,9211.0,9245.0,9558.0,9027.0,9400.5,8725.5,9184.0,8756.5,9029.5,8132.0,8539.0,7530.5,8077.5,6736.5,7320.5,5675.0,6174.0,5199.5,5946.0,10558.5,10090.0,4947.5,5796.5,4519.5,5424.0,4075.5,4986.0,3640.0,4635.0,3291.5,4284.5,2758.5,4016.0,2496.0,3711.5,2292.0,3575.0,2010.0,3278.5,1735.5,2961.0,10486.0,9768.5,1417.0,2485.0,1108.5,2149.0,862.0,1805.0,694.0,1571.0,483.5,1261.5,403.5,1001.0,236.5,714.5,190.5,554.0,126.0,405.5,81.0,275.5,11063.5,10343.0
17_Värmland_county,2.29748261,16.1,17519.24,739.5,668.5,9.0,74.0,1627.5,1506.0,1532.0,1456.0,1621.5,1480.5,1572.5,1467.5,1539.0,1476.5,1523.0,1352.0,1583.5,1402.0,1469.0,1400.0,1541.5,1412.0,1619.5,1428.0,1518.0,1439.0,1665.5,1480.0,1701.5,1528.0,1645.5,1432.5,1694.0,1560.5,1754.5,1541.0,1789.0,1601.0,1928.5,1726.5,1989.0,1785.0,2041.0,1827.5,1996.0,1749.0,1592.5,1497.0,1849.0,1753.0,1879.5,1640.0,1645.0,1580.0,1713.5,1554.0,1698.0,1552.5,1564.5,1434.0,1561.5,1487.5,1518.0,1460.5,1489.0,1526.0,1618.0,1524.0,1636.0,1505.5,1511.0,1429.5,1448.5,1389.0,1563.5,1464.5,1575.0,1442.0,1624.5,1602.5,1721.5,1705.5,1752.5,1706.5,1759.0,1751.0,1850.0,1745.5,1812.0,1715.5,1576.0,1487.5,1773.0,1631.5,1844.5,1843.5,2012.0,1913.5,2081.0,1900.5,2060.5,1948.0,2052.5,1939.0,1841.0,1807.5,1809.5,1731.5,1712.0,1672.0,1699.0,1651.0,1551.0,1593.5,1812.5,1712.5,1708.5,1755.0,1775.0,1797.0,1854.5,1775.5,1708.0,1770.5,1697.5,1772.5,1759.5,1720.0,1742.5,1756.0,1735.0,1717.0,1743.5,1785.0,1561.0,1483.5,1776.0,1820.0,1875.5,1803.5,1815.0,1889.5,1834.5,1803.5,1756.5,1799.0,1634.0,1808.5,1483.0,1606.5,1304.5,1430.0,1089.5,1277.0,1061.5,1142.5,1674.5,1531.5,967.0,1213.5,933.5,1118.0,826.0,1058.5,777.0,1013.0,691.5,917.5,610.5,836.0,533.5,817.5,485.5,782.0,424.0,677.5,390.5,626.0,1570.5,1534.0,287.0,516.5,245.0,486.5,183.5,401.5,142.5,324.5,117.5,248.0,83.0,195.0,64.0,142.5,41.0,106.5,12.0,71.5,17.0,57.5,1633.0,1540.0
18_Örebro_county,2.143774069,35.8,8503.99,862.0,810.0,19.5,77.0,1891.0,1834.5,1928.5,1740.0,1871.5,1739.5,1755.5,1678.0,1708.0,1636.0,1681.5,1597.5,1720.0,1652.5,1709.5,1614.0,1721.0,1591.0,1882.0,1651.0,1772.5,1729.0,1947.5,1709.5,1948.5,1916.0,1964.0,1951.5,2060.0,1957.5,2077.5,1955.0,2099.5,2058.5,2267.0,2020.5,2186.0,2056.5,2256.5,2107.5,2282.5,2063.5,1782.0,1686.0,2097.5,1978.0,2124.5,1934.0,1906.0,1897.0,1961.0,1827.5,1899.0,1820.0,1764.5,1751.5,1819.5,1713.0,1781.0,1665.5,1699.0,1635.0,1945.5,1841.0,1809.0,1717.0,1753.5,1741.5,1696.0,1614.0,1818.0,1727.5,1747.0,1648.0,1743.5,1751.0,1972.5,1929.5,1865.0,1887.5,1952.0,1933.0,1957.5,1942.5,1958.0,1908.0,1807.0,1739.0,1895.0,1826.5,2010.5,1835.0,2000.5,2065.0,2082.0,1873.5,2005.0,1939.5,2047.5,1993.5,1770.5,1692.5,1859.0,1774.5,1731.5,1693.0,1740.0,1648.5,1949.0,1697.0,1705.5,1641.0,1559.5,1672.0,1676.0,1721.0,1681.5,1714.0,1661.5,1752.0,1608.0,1624.5,1672.5,1721.5,1677.0,1728.5,1595.5,1609.0,1765.5,1808.0,1850.5,1752.0,1714.0,1755.0,1759.5,1866.0,1744.5,1863.0,1741.5,1877.5,1766.5,1850.0,1714.0,1761.5,1591.0,1592.0,1321.0,1442.5,1185.5,1307.0,1101.0,1259.5,1840.5,1823.5,964.0,1072.5,874.5,1052.5,729.5,899.0,693.0,808.5,625.0,755.5,471.5,725.5,423.0,657.0,420.5,638.0,366.0,567.0,298.5,544.0,1890.0,1805.5,255.5,456.5,188.0,405.5,160.5,376.5,118.0,305.0,80.0,238.5,71.5,199.0,62.0,143.5,33.0,118.5,25.0,92.5,9.5,55.5,1909.0,1840.0
19_Västmanland_county,2.239996495,53.9,5117.28,774.5,736.0,14.0,67.5,1627.5,1578.0,1679.5,1525.5,1695.5,1542.0,1671.0,1513.0,1648.0,1534.5,1576.5,1555.5,1647.5,1527.5,1551.0,1523.0,1586.5,1434.0,1665.0,1443.0,1593.5,1518.5,1756.0,1355.5,1638.0,1333.5,1495.5,1295.0,1518.5,1390.0,1701.0,1487.0,1846.0,1717.0,1852.0,1794.0,1968.0,1826.0,1932.5,1858.5,2124.5,1854.5,1676.0,1534.5,1857.5,1829.0,1836.0,1785.0,1845.0,1687.0,1749.0,1685.0,1784.5,1667.5,1643.5,1552.5,1581.5,1532.0,1662.0,1517.5,1523.5,1569.5,1600.0,1604.5,1671.5,1576.0,1617.5,1506.0,1529.5,1539.5,1521.0,1474.0,1619.5,1574.5,1686.0,1616.5,1664.0,1686.0,1680.5,1612.5,1853.0,1774.0,1780.0,1741.0,1745.5,1673.0,1672.5,1523.5,1783.0,1687.5,1931.0,1793.0,1939.5,1839.5,1962.0,1856.5,2040.0,1948.0,1906.0,1908.5,1817.0,1709.0,1755.0,1625.5,1648.0,1670.5,1613.0,1544.0,1669.5,1569.0,1591.5,1590.5,1598.5,1499.5,1576.0,1522.5,1542.5,1395.5,1521.0,1494.0,1477.5,1477.0,1424.0,1495.5,1437.0,1565.5,1438.0,1525.0,1621.5,1518.5,1652.5,1606.5,1553.0,1706.5,1626.5,1724.5,1619.5,1696.5,1644.5,1718.5,1552.0,1655.0,1497.0,1678.5,1281.0,1463.5,1159.0,1306.5,1131.5,1181.5,1005.5,1079.0,1681.0,1615.0,1044.5,1036.5,853.5,1028.5,773.0,937.5,653.0,821.0,593.0,742.5,487.0,676.5,484.5,624.0,419.5,587.5,381.5,573.0,298.5,549.5,1643.5,1616.5,253.5,438.0,219.0,388.0,163.5,332.0,132.0,276.0,85.0,246.0,72.0,188.5,45.0,132.5,36.0,96.0,27.0,65.0,13.5,65.0,1831.5,1566.5
20_Dalarna_county,2.0656348159999998,10.3,28030.12,748.0,745.0,12.0,61.0,1681.0,1597.0,1771.0,1653.5,1686.5,1661.5,1634.5,1615.5,1656.0,1613.0,1691.5,1555.5,1590.5,1578.0,1622.5,1502.5,1595.0,1415.0,1671.0,1466.0,1556.0,1530.5,1760.5,1323.5,1564.0,1233.5,1508.0,1212.5,1620.0,1301.5,1664.0,1342.0,1707.5,1486.5,1764.0,1531.0,1897.0,1670.0,1947.5,1763.5,1977.0,1795.0,1649.5,1553.0,1865.0,1744.0,1818.5,1688.0,1765.0,1703.0,1752.5,1653.0,1796.5,1589.0,1644.0,1492.5,1582.5,1486.5,1596.0,1485.0,1536.5,1482.0,1632.5,1559.0,1687.5,1601.5,1598.0,1493.0,1460.0,1502.5,1463.0,1539.5,1618.5,1580.5,1659.5,1563.5,1783.0,1670.0,1693.5,1652.0,1777.0,1751.5,1804.0,1776.5,1768.5,1648.0,1710.5,1508.5,1734.5,1684.5,1835.0,1785.0,1937.5,1943.0,1976.0,1893.0,1907.0,1909.0,2008.5,1980.5,1855.0,1802.5,1830.0,1743.5,1739.0,1665.0,1773.5,1771.5,1683.0,1596.0,1749.0,1740.5,1791.5,1775.0,1793.5,1861.5,1870.5,1808.0,1800.0,1897.0,1843.0,1785.5,1888.0,1811.0,1873.0,1772.0,1845.0,1733.5,1856.5,1906.0,1580.5,1522.0,1955.0,2014.5,2106.5,1996.5,2051.0,1908.5,1942.0,1982.0,1905.0,1842.0,1881.5,1854.0,1599.5,1633.5,1456.0,1477.5,1290.5,1356.5,1096.5,1152.0,1739.0,1604.5,1127.5,1219.5,973.0,1126.5,862.5,997.0,712.5,981.0,677.5,884.5,599.5,808.5,558.0,770.5,490.0,697.0,417.5,675.5,318.0,641.0,1714.5,1658.5,265.5,515.0,227.5,461.5,171.0,375.5,147.0,302.5,113.5,235.5,69.5,177.0,54.5,145.0,31.0,95.0,23.5,86.0,14.0,53.5,1696.5,1648.0
21_Gävleborg_county,1.919196502,15.9,18113.25,757.5,695.0,15.5,40.0,1660.5,1590.0,1620.0,1524.5,1670.5,1588.0,1685.0,1643.5,1665.5,1503.0,1661.5,1645.5,1721.5,1554.5,1656.5,1538.0,1653.5,1427.5,1696.5,1487.5,1598.0,1567.5,1684.0,1402.0,1645.5,1371.5,1507.5,1342.0,1596.5,1353.5,1628.0,1452.0,1785.5,1553.5,1781.5,1699.0,1914.5,1813.0,2041.0,1844.5,1953.0,1815.5,1564.5,1475.0,1893.0,1842.5,1851.0,1694.5,1735.0,1609.0,1695.0,1602.5,1635.5,1548.5,1628.5,1475.5,1554.5,1422.0,1509.5,1510.0,1550.5,1479.5,1606.0,1461.5,1592.0,1500.0,1544.0,1421.0,1399.5,1468.0,1504.0,1514.0,1512.0,1560.0,1701.5,1665.0,1752.0,1795.5,1782.0,1788.5,1892.0,1798.0,1852.0,1840.0,1798.0,1794.5,1633.5,1495.5,1823.0,1719.5,1901.5,1813.5,2084.5,2007.0,2045.5,1949.5,2056.5,1987.5,2073.0,1927.5,1884.0,1764.0,1832.5,1865.0,1785.5,1727.0,1751.0,1789.0,1576.5,1532.5,1844.0,1699.5,1722.5,1709.5,1767.0,1777.0,1779.0,1817.5,1787.5,1770.0,1792.0,1795.5,1860.5,1790.0,1751.0,1773.0,1735.0,1735.0,1852.5,1772.0,1579.0,1580.0,1922.0,1907.0,1912.5,2009.5,1936.0,1956.5,1963.5,2033.5,1890.0,1965.5,1894.5,1854.5,1557.5,1605.5,1375.0,1480.5,1296.0,1344.0,1042.5,1155.5,1660.5,1621.5,1008.5,1189.0,966.5,1140.5,844.0,1070.5,741.5,964.5,693.5,912.0,567.0,791.5,494.0,721.0,460.0,682.0,399.5,654.5,383.5,524.0,1666.5,1528.0,255.5,486.0,228.5,409.5,151.0,397.5,131.0,274.0,95.0,236.0,59.0,167.0,41.5,118.5,34.5,87.5,18.5,68.0,11.0,47.5,1669.5,1612.0
22_Västernorrland_county,2.5091157980000003,11.4,21548.49,626.0,608.5,8.0,58.5,1445.0,1353.5,1492.0,1410.0,1426.0,1382.5,1449.0,1370.0,1417.0,1360.0,1501.5,1434.0,1429.0,1407.5,1444.0,1342.0,1429.5,1265.5,1399.5,1235.5,1338.5,1248.5,1536.5,1148.0,1297.5,1072.0,1289.5,1066.0,1272.0,1042.5,1330.0,1188.0,1460.0,1260.0,1463.5,1309.5,1588.0,1358.0,1681.0,1480.5,1693.0,1459.5,1310.0,1228.0,1640.0,1442.5,1547.5,1424.5,1437.0,1412.5,1400.0,1343.0,1462.5,1323.0,1425.0,1232.5,1303.0,1237.0,1361.5,1274.5,1330.0,1270.5,1441.5,1374.5,1399.5,1319.5,1336.5,1352.5,1341.0,1319.5,1453.0,1352.0,1368.0,1385.5,1495.5,1454.0,1531.0,1524.5,1524.0,1525.0,1536.0,1563.0,1575.0,1524.0,1567.5,1571.5,1405.0,1284.0,1589.0,1535.0,1644.0,1579.0,1811.0,1696.5,1754.0,1724.5,1794.5,1663.0,1733.5,1639.5,1594.0,1550.0,1493.0,1436.0,1443.0,1419.5,1445.0,1464.5,1368.5,1278.5,1507.0,1484.0,1530.5,1491.0,1618.5,1596.0,1636.0,1513.5,1530.0,1490.5,1546.0,1532.0,1545.5,1533.5,1588.5,1548.5,1515.5,1442.5,1589.0,1501.0,1336.0,1284.0,1712.5,1578.5,1622.0,1623.5,1531.5,1681.5,1694.5,1715.5,1576.5,1638.0,1530.0,1503.0,1375.0,1478.5,1218.5,1236.0,1063.5,1137.5,891.0,1122.0,1383.0,1287.5,989.5,1043.5,808.5,1001.0,801.0,926.5,678.0,816.5,566.0,757.0,524.5,761.0,470.5,678.0,419.0,642.5,307.5,572.0,290.5,514.0,1385.0,1336.0,227.0,453.5,194.5,361.5,148.0,301.5,111.5,225.0,68.0,169.0,55.0,162.0,38.0,94.0,19.5,68.5,17.5,51.5,12.5,38.0,1415.5,1463.0
23_Jämtland_county,2.067853853,2.7,48935.24,358.5,325.0,7.5,30.5,761.5,735.0,782.0,744.5,747.0,756.0,765.0,736.5,729.0,714.0,758.0,718.5,725.5,713.5,713.0,653.0,682.0,652.5,726.5,609.0,710.5,704.5,807.0,628.0,712.0,591.5,715.5,637.5,708.0,610.5,749.5,731.0,818.5,716.5,874.5,781.5,924.0,773.5,884.5,873.0,991.0,889.0,806.0,697.5,915.0,798.5,892.5,792.0,776.0,788.5,830.5,789.0,805.5,738.0,779.0,736.0,705.5,717.5,763.5,671.5,753.5,684.0,735.5,691.5,756.0,682.5,740.0,737.5,742.0,694.0,725.0,683.5,707.0,718.5,770.5,765.5,868.5,839.0,853.5,717.0,826.0,787.5,798.0,814.5,754.0,760.5,794.5,706.0,752.5,736.5,833.5,766.5,904.5,872.5,931.0,868.5,914.5,892.5,895.5,921.0,853.0,778.0,790.0,785.5,770.5,746.5,762.0,772.0,755.5,708.0,774.0,833.0,824.5,780.0,821.0,822.0,816.5,840.5,847.0,804.5,877.0,825.5,838.5,800.0,869.5,779.0,759.0,764.0,837.5,821.0,741.0,670.5,860.5,815.0,916.5,929.5,882.5,838.5,872.0,861.0,827.5,817.0,774.5,777.0,740.5,704.5,656.0,614.0,511.5,559.0,450.0,514.0,715.0,715.0,448.0,584.5,400.0,458.5,378.0,435.0,334.5,410.0,322.5,386.5,259.0,362.5,221.5,284.0,229.0,326.0,171.0,310.5,164.5,250.0,771.5,733.0,126.0,224.5,89.0,165.0,74.0,162.0,76.5,132.5,43.5,91.0,31.0,86.0,20.5,86.5,18.0,39.0,12.0,32.0,6.5,18.0,825.0,757.5
24_Västerbotten_county,2.7117866110000004,5.0,54664.43,765.5,710.5,9.5,50.5,1650.5,1551.0,1606.0,1505.0,1495.0,1422.5,1599.5,1454.0,1461.0,1412.0,1424.5,1405.5,1505.0,1371.5,1458.0,1391.0,1443.5,1386.0,1556.5,1438.0,1526.5,1410.5,1869.0,1531.0,1794.0,1605.5,1909.5,1728.5,1891.0,1903.5,2025.5,1840.5,2156.0,2000.5,2258.5,1971.0,2250.0,1993.5,2319.0,2072.0,2135.0,1990.0,1587.0,1430.0,2143.5,1831.0,1970.0,1811.5,1798.5,1706.0,1844.5,1615.0,1809.5,1616.0,1754.0,1577.0,1667.0,1634.5,1739.5,1510.0,1658.0,1580.0,1651.5,1566.0,1601.0,1564.0,1634.0,1521.0,1575.0,1434.5,1600.5,1578.0,1574.5,1455.5,1648.5,1556.5,1703.0,1598.5,1588.5,1564.0,1676.5,1540.5,1596.5,1533.0,1588.5,1535.0,1586.5,1454.5,1561.5,1556.0,1668.5,1627.0,1742.5,1661.0,1821.5,1642.5,1706.5,1703.0,1704.0,1636.5,1644.5,1538.5,1504.5,1485.0,1513.5,1475.0,1560.0,1531.5,1566.0,1446.0,1577.0,1544.5,1592.5,1602.5,1619.5,1579.0,1648.0,1601.5,1630.5,1632.5,1476.5,1544.0,1588.0,1579.0,1552.0,1551.5,1593.0,1460.5,1600.5,1519.0,1631.0,1478.0,1551.5,1652.5,1671.0,1568.5,1527.0,1553.0,1602.5,1499.0,1571.5,1530.0,1325.5,1389.0,1262.0,1351.0,1073.5,1241.5,957.5,1088.5,883.0,1041.0,1597.5,1464.0,866.5,1087.0,797.5,966.5,735.0,853.0,655.5,837.5,565.5,748.5,523.0,735.0,447.5,602.5,419.5,616.0,335.5,539.5,260.0,468.5,1582.0,1549.0,234.5,428.0,189.5,383.5,151.0,306.0,130.0,219.0,87.5,191.0,57.0,170.0,35.5,97.0,23.5,58.5,14.0,62.5,8.0,37.5,1571.0,1543.5
25_Norrbotten_county,2.323381118,2.6,97241.87,643.0,582.0,12.0,29.5,1327.0,1287.0,1386.5,1225.0,1362.0,1202.0,1408.5,1284.5,1314.0,1247.0,1336.5,1316.5,1291.0,1281.0,1326.5,1203.5,1383.0,1282.5,1567.0,1267.5,1158.0,1216.0,1839.0,1220.0,1689.0,1140.5,1613.0,1194.5,1690.5,1159.0,1640.5,1365.0,1786.0,1339.0,1747.5,1427.0,1830.5,1528.5,1885.0,1572.0,1886.5,1506.5,1264.0,1207.5,1787.5,1558.0,1768.5,1484.5,1630.5,1426.0,1553.5,1358.0,1509.5,1287.0,1378.5,1283.0,1433.0,1224.5,1451.5,1244.5,1388.5,1283.0,1436.0,1282.5,1346.0,1256.0,1299.5,1259.0,1344.5,1165.5,1264.5,1250.0,1384.0,1289.5,1466.5,1403.0,1500.5,1463.0,1452.0,1500.5,1560.0,1554.0,1584.5,1493.5,1621.0,1554.0,1360.0,1208.0,1580.5,1484.5,1650.0,1610.5,1821.0,1716.5,1797.5,1682.0,1853.0,1702.0,1774.5,1712.0,1678.5,1564.5,1632.0,1549.0,1592.0,1543.5,1612.0,1601.0,1338.5,1307.0,1676.5,1634.5,1687.5,1573.0,1655.5,1617.5,1620.0,1725.5,1623.0,1566.0,1677.0,1525.5,1723.5,1606.5,1578.0,1575.5,1605.0,1545.0,1645.5,1587.0,1337.5,1281.0,1702.0,1611.0,1690.0,1743.0,1663.5,1683.0,1640.0,1655.5,1519.0,1546.5,1450.5,1440.0,1375.5,1366.0,1226.5,1218.0,1093.5,1181.0,1017.5,1127.0,1273.5,1219.5,965.0,1193.5,778.5,1030.0,698.0,1020.5,768.5,893.0,640.5,850.0,574.5,784.0,477.0,670.0,436.5,668.0,366.5,542.5,299.5,516.5,1371.0,1284.0,225.0,434.0,184.5,394.0,146.5,281.0,99.0,200.5,75.5,171.5,47.0,147.0,39.5,84.0,18.0,66.0,10.5,43.5,7.5,28.0,1347.5,1290.5
